,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2010-01-04,4508.93,4542.71,4487.365,4510.527,5125673400.0,62671851458.0
2010-01-05,4513.403,4558.21,4480.188,4557.475,5704074500.0,68443129592.99999
2010-01-06,4553.369,4595.102,4538.719,4550.279,5787597900.0,69618450892.0
2010-01-07,4540.009,4554.932,4436.767,4459.155,5787344000.0,68761437809.0
2010-01-08,4439.206,4514.719,4426.235,4514.452,4657364600.0,54897796700.0
2010-01-11,4549.318,4558.461,4502.994,4542.949,5708973200.0,70066392656.0
2010-01-12,4535.304,4640.353,4524.675,4639.632,6206168900.0,76271745524.0
2010-01-13,4544.429,4650.059,4526.838,4591.024,6789880700.0,83458600355.0
2010-01-14,4598.405,4714.873,4598.405,4714.1,6791848300.0,84561287696.0
2010-01-15,4720.217,4753.189,4712.624,4747.648,5851337200.0,73076043319.0
2010-01-18,4744.325,4829.361,4738.911,4829.062,6328435700.0,78211370140.0
2010-01-19,4835.827,4852.325,4791.99,4830.016,6615494400.0,80838046644.0
2010-01-20,4830.421,4831.701,4635.669,4651.074,7808653700.0,94323889250.0
2010-01-21,4646.622,4696.161,4611.76,4667.209,5093667600.0,61486439798.0
2010-01-22,4613.193,4633.394,4453.69,4537.88,6018718300.0,69988890425.0
2010-01-25,4515.131,4542.786,4477.187,4481.16,4139508300.0,49671090279.0
2010-01-26,4467.521,4492.645,4254.323,4294.383,4152028200.0,47467846100.0
2010-01-27,4290.736,4344.132,4229.517,4267.113,3292415200.0,37930581719.0
2010-01-28,4266.056,4340.409,4249.771,4336.381,3212733000.0,37413687580.0
2010-01-29,4316.237,4418.402,4298.654,4374.649,3988806500.0,46920870245.0
2010-02-01,4366.489,4372.572,4269.33,4331.366,4309502900.0,50119156209.0
2010-02-02,4344.037,4388.351,4296.883,4301.768,3853250500.0,45419432144.0
2010-02-03,4299.966,4363.668,4160.352,4363.079,4852667900.0,55363883385.0
2010-02-04,4342.68,4445.754,4316.813,4408.441,5187378200.0,60009178101.0
2010-02-05,4312.549,4382.344,4270.71,4311.293,4967040500.0,57329452739.0
2010-02-08,4299.251,4330.204,4279.662,4310.894,3194607600.0,36140917706.0
2010-02-09,4300.32,4334.343,4284.517,4311.891,2989657900.0,33051109745.0
2010-02-10,4333.854,4366.495,4326.019,4366.25,2589719600.0,30362057461.0
2010-02-11,4367.721,4385.197,4352.114,4356.517,2448541000.0,28560427556.0
2010-02-12,4365.619,4418.539,4365.477,4416.219,2451137900.0,29321018550.0
